Payer,Payment Date,NPI,Payment Number,Amount,Claim Count
UnitedHealthcare Services,2/19/2021,1366479099,1E0000000080457,$6.15 ,1
UHC Community Plan of CA Inc,2/19/2021,1104016088,2.02E+14,$497.41 ,28
UMR SUTTERSELECT,2/19/2021,1366479099,609664566,"$105,448.62 ",1446
UMR,2/19/2021,1366479099,609664577,"$7,092.96 ",147
UHC NTCA GROUP HEALTH PROGRAM,2/19/2021,1366479099,609664574,$542.13 ,7
COVID19 HRSA Uninsured Treatment Fund,2/19/2021,1366479099,609922825,$448.87 ,7
Medica,2/19/2021,1366479099,1609919531,$366.12 ,5
UHC DESERT MUTUAL BENEFIT ADMINISTRATORS,2/19/2021,1366479099,609664573,$153.50 ,9
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/19/2021,1366479099,609664575,$195.01 ,9
UHC Member Payment,2/19/2021,,1021321A26C7021,$30.50 ,1
UHC Member Payment,2/19/2021,,1021321A2388021,$25.04 ,1
UHC Member Payment,2/19/2021,,1021321A29F2021,$44.54 ,1
UHC Member Payment,2/19/2021,,1021321A2A29021,$22.13 ,1
UnitedHealthcare,2/19/2021,1366479099,1609872921,$673.07 ,53
UnitedHealthcare,2/19/2021,1366479099,1TR77339479,$353.99 ,6
UHC Community Plan of CA Dual,2/19/2021,1104016088,2.02E+14,$0.00 ,5
UHC Benefits Plan of CA,2/19/2021,1366479099,1SW10361821,$0.00 ,1
UMR USNAS,2/19/2021,1366479099,609665216,$197.00 ,11
UHC Community Plan of AZ Acute DD,2/19/2021,1104016088,2.02E+14,$0.00 ,2
UHC Member Payment,2/19/2021,,1021621A8726021,$25.07 ,1
UHC Member Payment,2/19/2021,,1021521A6931021,$13.09 ,1
UHC Member Payment,2/19/2021,,1021521A7A93021,$18.11 ,1
UHC Member Payment,2/19/2021,,1021321A37AF021,$7.54 ,1
UHC Member Payment,2/19/2021,,1021321A37DE021,$61.11 ,1
UHC Member Payment,2/19/2021,,1021621A9D86021,$6.31 ,1
UHC Member Payment,2/19/2021,,1021621A8728021,$25.07 ,1
UHC Member Payment,2/19/2021,,1021621A9A9E021,$11.37 ,1
UHC Member Payment,2/19/2021,,1021321A3233021,$64.34 ,1
UHC Member Payment,2/19/2021,,1021621A9DA8021,$12.47 ,1
UHC Member Payment,2/19/2021,,1021421A4B0A021,$15.58 ,1
UHC Member Payment,2/19/2021,,1021321A37B6021,$11.99 ,1
UHC Member Payment,2/19/2021,,1021321A37B9021,$4.61 ,1
UHC Member Payment,2/19/2021,,1021321A3605021,$11.92 ,1
UHC Member Payment,2/19/2021,,1021621A8729021,$6.92 ,1
UHC Member Payment,2/19/2021,,1021521A7B09021,$9.72 ,1
UHC Member Payment,2/19/2021,,1021621A99D1021,$11.52 ,1
UHC Member Payment,2/19/2021,,1021521A7ABB021,$10.76 ,1
UHC Member Payment,2/19/2021,,1021621AA091021,$25.79 ,1
UHC Member Payment,2/19/2021,,1021521A78A2021,$5.75 ,1
UHC Member Payment,2/19/2021,,1021321A322C021,$28.62 ,1
UHC Member Payment,2/19/2021,,1021221A10CB021,$58.09 ,1
UHC Member Payment,2/19/2021,,1021421A5484021,$50.00 ,1
UHC Member Payment,2/19/2021,,1021521A7042021,$4.61 ,1
UHC Member Payment,2/19/2021,,1021621A9BEF021,$50.08 ,1
UHC Member Payment,2/19/2021,,1021321A3911021,$58.34 ,1
UHC Member Payment,2/19/2021,,1021421A4955021,$25.07 ,1
UHC Member Payment,2/19/2021,,1021621A99D6021,$11.52 ,1
UHC Member Payment,2/19/2021,,1021321A3A7E021,$3.04 ,1
UHC Member Payment,2/19/2021,,1021621A872B021,$13.35 ,1
UHC Member Payment,2/19/2021,,1021621A99CC021,$5.75 ,1
UHC Member Payment,2/19/2021,,1021421A5487021,$133.25 ,1
UHC Member Payment,2/19/2021,,1021521A843B021,$8.63 ,1
UHC Member Payment,2/19/2021,,1021621A9D77021,$27.14 ,1
UHC Member Payment,2/19/2021,,1021521A7038021,$4.61 ,1
UHC Member Payment,2/19/2021,,1021621A99E1021,$23.44 ,1
UHC Member Payment,2/19/2021,,1021621AA250021,$16.39 ,1
UHC Member Payment,2/19/2021,,1021621A9DAA021,$20.56 ,1
UHC Member Payment,2/19/2021,,1021621A872A021,$6.43 ,1
UMR,2/19/2021,1366479099,609664578,$0.00 ,9
UMR MAY TRUCKING COMPANY,2/19/2021,1366479099,609664571,$0.00 ,2
UHC GOVERNMENT EMPLOYEES HEALTH ASSOC,2/19/2021,1366479099,609664576,$0.00 ,4
UMR FAITH TECHNOLOGIES INC,2/19/2021,1366479099,609664570,$0.00 ,2
UMR SUTTERSELECT,2/19/2021,1366479099,609664567,$0.00 ,1
UHIC,2/19/2021,1104016088,2.02E+14,$0.00 ,1
UHC Community Plan of AZ DSNP,2/19/2021,1104016088,2.02E+14,$0.00 ,1
UnitedHealthcare Services,2/19/2021,1366479099,1N0000000119221,$0.00 ,1
UNITED BEHAVIORAL HEALTH,2/19/2021,1366479099,1609872922,$0.00 ,1
UNITED BEHAVIORAL HEALTH,2/19/2021,1366479099,1609873555,$0.00 ,1
UnitedHealthcare of California Inc,2/19/2021,1366479099,9610166363,"$38,150.59 ",427
AppleCare Medical Group,2/19/2021,1366479099,610066253,$0.00 ,5430
AppleCare Medical Group St Francis,2/19/2021,1366479099,610066262,$0.00 ,1218
THE INSURANCE COMPANY OF THE STATE OF PA,2/19/2021,,609991129,$0.00 ,1
UMR USNAS,2/19/2021,1366479099,609665217,$0.00 ,5
UnitedHealthcare,2/19/2021,1366479099,609665215,$0.00 ,1
UnitedHealthcare Services,2/19/2021,1366479099,1N0000000119221,$0.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142799,$144.26 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142769,$257.31 ,8
UHC Benefits Plan of CA,2/18/2021,1366479099,1SW10354473,"$42,778.64 ",1993
UnitedHealthcare,2/18/2021,1366479099,1TR77079259,$200.00 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142740,$26.48 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77142751,$714.07 ,28
UnitedHealthcare,2/18/2021,1366479099,1TR77079256,$142.13 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142753,$30.86 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142797,"$3,666.65 ",128
UnitedHealthcare,2/18/2021,1366479099,1TR77142776,"$1,141.98 ",33
UnitedHealthcare,2/18/2021,1366479099,1TR77142788,$9.55 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142778,"$3,761.23 ",49
UnitedHealthcare,2/18/2021,1366479099,1TR77088856,$103.13 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142749,$22.50 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142820,"$7,444.81 ",228
UnitedHealthcare,2/18/2021,1659390763,1TR77084666,$16.04 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142777,$163.94 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142765,$34.62 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142803,$546.39 ,27
UnitedHealthcare,2/18/2021,1366479099,1TR77142801,$406.27 ,12
UnitedHealthcare,2/18/2021,1366479099,1TR77142805,$908.06 ,40
UnitedHealthcare,2/18/2021,1366479099,1TR77142780,$129.29 ,8
UnitedHealthcare,2/18/2021,1366479099,1TR77142762,$26.88 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142739,$237.86 ,10
UnitedHealthcare,2/18/2021,1366479099,1TR77142794,$28.42 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142752,$190.28 ,15
UnitedHealthcare,2/18/2021,1366479099,1TR77151409,"$229,025.33 ",7776
UnitedHealthcare,2/18/2021,1366479099,1TR77142772,$32.38 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77111301,$31.83 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142760,$322.64 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77142790,"$2,077.28 ",38
UnitedHealthcare,2/18/2021,1366479099,1TR77142781,$66.47 ,6
UnitedHealthcare,2/18/2021,1366479099,1TR77142812,"$6,095.27 ",202
UnitedHealthcare,2/18/2021,1366479099,1TR77142793,$450.11 ,36
UnitedHealthcare,2/18/2021,1366479099,1TR77142767,$340.45 ,12
UnitedHealthcare,2/18/2021,1366479099,1TR77142819,$19.53 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142823,$92.98 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142784,"$3,760.17 ",75
UnitedHealthcare,2/18/2021,1366479099,1TR77142759,$641.30 ,35
UnitedHealthcare,2/18/2021,1366479099,1TR77142804,$265.34 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77121121,$58.32 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77142768,$422.10 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77142811,"$2,548.51 ",74
UnitedHealthcare,2/18/2021,1366479099,1TR77142758,$444.21 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142813,"$2,668.94 ",56
UnitedHealthcare,2/18/2021,1366479099,1TR77142821,$47.73 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142807,"$1,112.91 ",81
UnitedHealthcare,2/18/2021,1366479099,1TR77142825,"$2,796.71 ",123
UnitedHealthcare,2/18/2021,1366479099,1TR77142782,$47.31 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142747,$150.08 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142818,"$3,085.09 ",74
UnitedHealthcare,2/18/2021,1366479099,1TR77142800,"$4,329.58 ",138
UnitedHealthcare,2/18/2021,1366479099,1TR77142808,$210.25 ,28
UnitedHealthcare,2/18/2021,1366479099,1TR77142817,"$2,634.96 ",64
UnitedHealthcare,2/18/2021,1366479099,1TR77142816,$337.96 ,24
UnitedHealthcare,2/18/2021,1366479099,1TR77142756,$109.69 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142783,$64.54 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142798,"$2,574.51 ",208
UnitedHealthcare,2/18/2021,1366479099,1TR77142743,$185.47 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142802,$230.46 ,38
UnitedHealthcare,2/18/2021,1366479099,1TR77142822,$322.81 ,12
UnitedHealthcare,2/18/2021,1366479099,1TR77142789,$9.22 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142750,$6.92 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77134550,$30.87 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142814,$226.39 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142757,$204.02 ,38
UnitedHealthcare,2/18/2021,1366479099,1TR77142770,$326.06 ,16
UnitedHealthcare,2/18/2021,1366479099,1TR77142761,$83.70 ,11
UnitedHealthcare,2/18/2021,1366479099,1TR77111294,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142775,$450.53 ,20
UnitedHealthcare,2/18/2021,1366479099,1TR77142779,$88.99 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142755,$36.88 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77134544,$4.66 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142754,$106.11 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142792,$154.25 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77214079,$45.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142811,"$2,548.51 ",74
UnitedHealthcare,2/18/2021,1366479099,1TR77142825,"$2,796.71 ",123
UnitedHealthcare,2/18/2021,1366479099,1TR77142782,$47.31 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77142768,$422.10 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77142817,"$2,634.96 ",64
UnitedHealthcare,2/18/2021,1366479099,1TR77142758,$444.21 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142747,$150.08 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142800,"$4,329.58 ",138
UnitedHealthcare,2/18/2021,1366479099,1TR77069669,$6.15 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77061224,$11.52 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069668,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069673,$700.00 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77069670,$200.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77069675,$100.00 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77069671,$100.00 ,1
UnitedHealthcare,2/18/2021,1619913449,1TR77074679,$2.81 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77069676,$200.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142776,"$1,141.98 ",33
UnitedHealthcare,2/18/2021,1366479099,1TR77142763,$334.93 ,17
UnitedHealthcare,2/18/2021,1366479099,1TR77142765,$34.62 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142751,$714.07 ,28
UnitedHealthcare,2/18/2021,1366479099,1TR77142803,$546.39 ,27
UnitedHealthcare,2/18/2021,1366479099,1TR77142822,$322.81 ,12
UHC Benefits Plan of CA,2/18/2021,1366479099,1SW10354473,"$42,778.64 ",1993
UnitedHealthcare,2/18/2021,1366479099,1TR77142798,"$2,574.51 ",208
UnitedHealthcare,2/18/2021,1366479099,1TR77142789,$9.22 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142809,"$1,509.56 ",211
UnitedHealthcare,2/18/2021,1366479099,1TR77142815,$153.69 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142750,$6.92 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77142786,$265.82 ,19
UnitedHealthcare,2/18/2021,1366479099,1TR77079268,$20.22 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77081087,$300.00 ,8
UnitedHealthcare,2/18/2021,1366479099,1TR77079261,$168.97 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77079253,$100.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77079265,$12.95 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77081215,$84.26 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77079258,$93.38 ,3
UnitedHealthcare,2/18/2021,1245396605,1TR77080187,$43.93 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77083089,$987.71 ,13
UnitedHealthcare,2/18/2021,1366479099,1TR77079263,$100.00 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77079257,$250.08 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77079254,$102.68 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77088853,$28.65 ,9
UnitedHealthcare,2/18/2021,1366479099,1TR77088851,$18.89 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77084395,$42.13 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77088855,$148.37 ,7
UnitedHealthcare,2/18/2021,1366479099,1TR77088854,$9.55 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77088852,$6.92 ,2
UnitedHealthcare,2/18/2021,1366479099,1TR77084396,$82.05 ,1
UnitedHealthcare,2/18/2021,1366479099,1TR77142779,$88.99 ,3
UnitedHealthcare,2/18/2021,1366479099,1TR77142754,$106.11 ,4
UnitedHealthcare,2/18/2021,1366479099,1TR77142775,$450.53 ,20
UnitedHealthcare,2/18/2021,1366479099,1TR77142821,$47.73 ,5
UnitedHealthcare,2/18/2021,1366479099,1TR77142818,"$3,085.09 ",74
UnitedHealthcare,2/18/2021,1366479099,1TR77134544,$4.66 ,5
